,City,Latitude,Longitude,Max Temperature (Â°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,upernavik,72.7868,-56.1549,5.08,93,100,4.12,GL,1628352303
1,san patricio,28.017,-97.5169,31.99,54,7,5.07,US,1628352237
2,puerto escondido,15.85,-97.0667,29.46,65,1,0.0,MX,1628352306
3,mataura,-46.1927,168.8643,1.38,98,100,0.61,NZ,1628352307
4,hualmay,-11.0964,-77.6139,19.68,71,45,5.21,PE,1628352310
5,fortuna,40.5982,-124.1573,16.07,96,90,0.0,US,1628352131
6,ponta do sol,32.6667,-17.1,26.18,80,56,2.2,PT,1628352101
7,aklavik,68.2191,-135.0107,6.0,93,90,5.14,CA,1628352257
8,arica,-18.475,-70.3042,18.75,67,90,3.6,CL,1628352314
9,oksfjord,70.2396,22.3479,19.51,62,93,0.81,NO,1628352316
10,mayumba,-3.432,10.6554,23.34,81,100,3.56,GA,1628352317
11,butaritari,3.0707,172.7902,27.73,71,20,5.76,KI,1628352319
12,kapaa,22.0752,-159.319,26.18,76,40,1.34,US,1628352320
13,hobart,-42.8794,147.3294,3.36,87,33,0.89,AU,1628352321
14,hilo,19.7297,-155.09,22.85,90,90,2.57,US,1628352186
15,dalby,-27.1833,151.2667,6.59,80,0,2.91,AU,1628352324
16,khatanga,71.9667,102.5,10.57,71,9,3.03,RU,1628352325
17,hermanus,-34.4187,19.2345,13.28,77,100,1.19,ZA,1628352327
18,bluff,-46.6,168.3333,1.56,65,100,2.88,NZ,1628352328
19,severnoye,56.3491,78.3619,17.46,89,70,1.62,RU,1628352329
20,russell,32.3502,-85.1999,30.51,64,20,0.0,US,1628352331
21,jamestown,42.097,-79.2353,27.62,65,1,3.6,US,1628352322
22,ushuaia,-54.8,-68.3,0.81,86,75,8.75,AR,1628352333
23,nikolskoye,59.7035,30.7861,16.94,99,100,3.47,RU,1628352335
24,oranjemund,-28.55,16.4333,16.83,57,21,2.55,NA,1628352337
25,norman wells,65.282,-126.8329,6.14,85,100,2.88,CA,1628352212
26,chodavaram,17.8333,82.95,27.91,79,100,1.2,IN,1628352341
27,hennenman,-27.9765,27.0242,13.15,15,0,2.07,ZA,1628352342
28,qaanaaq,77.484,-69.3632,5.46,72,91,2.56,GL,1628352188
29,busselton,-33.65,115.3333,15.05,92,100,6.68,AU,1628352345
30,gidole,5.65,37.3667,18.95,48,99,1.97,ET,1628352346
31,severo-kurilsk,50.6789,156.125,11.78,86,97,6.31,RU,1628352347
32,rorvik,64.8621,11.2373,18.47,54,95,4.81,NO,1628352349
33,dikson,73.5069,80.5464,9.8,70,13,4.34,RU,1628352105
34,cidreira,-30.1811,-50.2056,20.11,70,13,5.22,BR,1628352208
35,kysyl-syr,63.8986,122.7617,20.02,44,94,6.22,RU,1628352352
36,nhulunbuy,-12.2333,136.7667,23.34,73,40,4.63,AU,1628352353
37,mar del plata,-38.0023,-57.5575,14.01,100,75,5.66,AR,1628352305
38,high level,58.5169,-117.136,15.84,63,35,2.37,CA,1628352356
39,nanortalik,60.1432,-45.2371,9.28,75,100,6.08,GL,1628352136
40,port alfred,-33.5906,26.891,16.4,78,63,6.17,ZA,1628352358
41,punta arenas,-53.15,-70.9167,2.58,70,36,9.08,CL,1628352062
42,muros,42.7762,-9.0603,22.77,55,2,5.85,ES,1628352222
43,pouembout,-21.1333,164.9,17.51,78,99,1.63,NC,1628352362
44,airai,-8.9266,125.4092,11.93,80,27,1.26,TL,1628352364
45,altea,38.5989,-0.0514,39.32,56,1,3.21,ES,1628352365
46,saint-philippe,-21.3585,55.7679,20.77,76,57,6.13,RE,1628352367
47,atuona,-9.8,-139.0333,25.26,80,92,8.17,PF,1628352368
48,lorengau,-2.0226,147.2712,26.38,79,58,3.05,PG,1628352226
49,chokurdakh,70.6333,147.9167,7.96,78,7,3.32,RU,1628352370
50,yenagoa,4.9247,6.2642,27.11,74,97,3.94,NG,1628352256
51,port lincoln,-34.7333,135.8667,11.69,74,47,4.15,AU,1628352209
52,east london,-33.0153,27.9116,17.38,72,67,4.02,ZA,1628352312
53,bethel,41.3712,-73.414,29.64,70,20,3.09,US,1628352375
54,klaksvik,62.2266,-6.589,19.51,88,100,9.41,FO,1628352234
55,tuktoyaktuk,69.4541,-133.0374,5.23,85,100,5.62,CA,1628352190
56,ketchikan,55.3422,-131.6461,13.26,94,40,2.06,US,1628352379
57,walvis bay,-22.9575,14.5053,14.49,55,0,5.76,NA,1628352381
58,tual,-5.6667,132.75,26.94,79,96,9.14,ID,1628352382
59,eyl,7.9803,49.8164,25.19,76,76,11.77,SO,1628352385
60,paamiut,61.994,-49.6678,5.75,95,100,3.43,GL,1628352386
61,morgan city,29.6994,-91.2068,32.78,66,1,0.0,US,1628352387
62,cayenne,4.9333,-52.3333,32.02,75,40,1.79,GF,1628352390
63,thabazimbi,-24.5917,27.4116,21.42,18,0,1.95,ZA,1628352391
64,areka,7.0667,37.7,17.19,82,98,1.6,ET,1628352393
65,rikitea,-23.1203,-134.9692,23.24,80,4,4.06,PF,1628352394
66,lebu,-37.6167,-73.65,10.75,65,19,7.67,CL,1628352395
67,port elizabeth,-33.918,25.5701,16.17,87,93,4.79,ZA,1628352197
68,litovko,49.2361,135.1742,12.59,95,100,8.88,RU,1628352398
69,kamloops,50.6665,-120.3192,18.65,67,97,0.45,CA,1628352399
70,vaini,-21.2,-175.2,19.09,82,20,3.09,TO,1628352400
71,ahuimanu,21.4447,-157.8378,24.84,71,20,5.14,US,1628352402
72,vila franca do campo,37.7167,-25.4333,24.23,59,92,5.41,PT,1628352403
73,carnarvon,-24.8667,113.6333,20.38,90,60,2.91,AU,1628352215
74,chicama,-7.8447,-79.1469,17.3,65,56,3.9,PE,1628352405
75,saskylakh,71.9167,114.0833,8.18,84,19,3.52,RU,1628352188
76,albany,42.6001,-73.9662,29.89,70,100,1.17,US,1628352408
77,chabahar,25.2919,60.643,28.37,80,38,2.7,IR,1628352316
78,puerto ayora,-0.7393,-90.3518,24.98,83,81,4.02,EC,1628352411
79,baishishan,43.5833,127.5667,17.77,89,6,0.71,CN,1628352413
80,taksimo,56.3444,114.8794,15.84,87,100,1.49,RU,1628352157
81,kamina,-8.7386,24.9906,27.69,15,90,2.07,CD,1628352415
82,tura,25.5198,90.2201,23.89,98,100,2.47,IN,1628352385
83,torun,53.0137,18.5981,25.11,70,100,2.0,PL,1628352418
84,port antonio,18.18,-76.4612,33.84,65,25,2.69,JM,1628352419
85,requena,39.4883,-1.1004,35.29,21,48,9.42,ES,1628352420
86,marzuq,14.4,46.4667,30.69,42,7,3.95,YE,1628352422
87,semey,50.4111,80.2275,24.01,34,24,2.57,KZ,1628352423
88,erenhot,43.6475,111.9767,27.65,24,96,3.28,CN,1628352426
89,albanel,48.8832,-72.4487,17.9,68,96,2.54,CA,1628352427
90,srednekolymsk,67.45,153.6833,5.22,78,73,3.15,RU,1628352428
91,kahului,20.8947,-156.47,24.01,72,20,5.14,US,1628352337
92,bonthe,7.5264,-12.505,28.3,59,97,4.52,SL,1628352431
93,paramonga,-10.6667,-77.8333,19.65,73,39,5.15,PE,1628352432
94,lumphat,13.4878,106.9816,24.38,97,100,0.43,KH,1628352435
95,portland,45.5234,-122.6762,22.56,71,40,0.45,US,1628352323
96,kailaras,26.3167,77.6167,28.99,81,100,1.57,IN,1628352437
97,nioro,13.35,-15.75,29.15,69,91,3.58,GM,1628352438
98,beyneu,45.3167,55.2,34.83,13,0,3.9,KZ,1628352440
99,provideniya,64.3833,-173.3,6.61,86,100,2.14,RU,1628352441
100,longyearbyen,78.2186,15.6401,8.91,76,75,5.66,SJ,1628352442
101,mahebourg,-20.4081,57.7,22.36,70,11,6.18,MU,1628352444
102,cherskiy,68.75,161.3,9.38,59,100,2.46,RU,1628352207
103,avarua,-21.2078,-159.775,23.03,83,20,2.06,CK,1628352248
104,huarmey,-10.0681,-78.1522,20.32,72,43,5.26,PE,1628352218
105,saldanha,-33.0117,17.9442,14.2,70,100,2.54,ZA,1628352234
106,uvat,59.1433,68.8953,16.87,96,99,2.1,RU,1628352449
107,regina,50.4501,-104.6178,26.06,45,49,7.73,CA,1628352310
108,laguna,38.421,-121.4238,28.91,61,1,0.89,US,1628352194
109,tasiilaq,65.6145,-37.6368,8.09,93,99,2.51,GL,1628352245
110,kodiak,57.79,-152.4072,12.73,88,75,0.0,US,1628352456
111,wanning,18.8003,110.3967,27.74,86,100,1.96,CN,1628352289
112,torbay,47.6666,-52.7314,25.16,78,42,8.81,CA,1628352199
113,mayo,38.8876,-76.5119,27.54,88,75,3.09,US,1628352460
114,vila do maio,15.1333,-23.2167,25.98,85,61,3.96,CV,1628352461
115,lavrentiya,65.5833,-171.0,5.92,86,100,6.52,RU,1628352383
116,kieta,-6.2167,155.6333,25.62,85,86,3.18,PG,1628352463
117,khasan,42.4308,130.6434,21.63,89,87,1.47,RU,1628352465
118,kochi,9.9399,76.2602,24.99,88,100,5.48,IN,1628352349
119,pyu,18.4833,96.4333,24.18,97,78,2.22,MM,1628352467
120,talnakh,69.4865,88.3972,17.7,46,79,2.11,RU,1628352468
121,najran,17.4924,44.1277,33.69,18,84,7.12,SA,1628352470
122,vestmanna,62.1564,-7.1664,18.51,55,100,7.72,FO,1628352471
123,halifax,44.6453,-63.5724,28.56,77,56,2.24,CA,1628352259
124,narsaq,60.9167,-46.05,11.12,75,100,2.03,GL,1628352473
125,mahajanga,-15.7167,46.3167,24.01,73,20,3.09,MG,1628352475
126,boyolangu,-8.1181,111.8935,23.81,95,35,1.05,ID,1628352476
127,valjevo,44.2751,19.8982,30.68,19,5,2.72,RS,1628352477
128,cape town,-33.9258,18.4232,15.06,83,100,1.34,ZA,1628351647
129,yellowknife,62.456,-114.3525,14.92,91,100,5.74,CA,1628352480
130,saint george,37.1041,-113.5841,29.26,17,1,0.62,US,1628352481
131,ancud,-41.8697,-73.8203,9.68,64,86,2.64,CL,1628352482
132,thompson,55.7435,-97.8558,22.59,45,5,4.36,CA,1628352484
133,georgetown,5.4112,100.3354,29.38,80,20,0.0,MY,1628352485
134,souillac,-20.5167,57.5167,22.42,72,9,5.39,MU,1628352487
135,iracoubo,5.4802,-53.2011,27.48,78,69,1.33,GF,1628352490
136,shache,38.4167,77.2406,27.76,31,100,5.52,CN,1628352492
137,sola,-13.8833,167.55,25.83,77,81,8.42,VU,1628352493
138,broken hill,-31.95,141.4333,8.53,73,0,3.68,AU,1628352494
139,clyde river,70.4692,-68.5914,4.13,100,90,5.66,CA,1628352197
140,benito juarez,19.385,-99.165,20.19,63,40,0.0,MX,1628352498
141,makakilo city,21.3469,-158.0858,24.18,69,1,1.54,US,1628352410
142,magnitka,55.3475,59.6961,13.73,68,74,3.32,RU,1628352500
143,saurimo,-9.6608,20.3916,29.02,9,43,0.91,AO,1628352502
144,sobolevo,54.4299,31.8996,19.33,68,100,4.12,RU,1628352503
145,chimore,-16.9833,-65.1333,32.48,25,0,2.92,BO,1628352504
146,progreso,21.2833,-89.6667,31.17,63,2,3.7,MX,1628352506
147,luderitz,-26.6481,15.1594,18.02,50,3,0.41,NA,1628352507
148,isiro,2.7739,27.616,21.06,96,88,1.66,CD,1628352508
149,barrow,71.2906,-156.7887,2.01,81,90,0.0,US,1628352510
150,yarke pole,45.608,34.3172,30.74,46,100,6.25,UA,1628352511
151,alofi,-19.0595,-169.9187,23.52,70,24,6.12,NU,1628352512
152,coquimbo,-29.9533,-71.3436,14.85,62,75,2.06,CL,1628352514
153,svetlaya,46.5389,138.3297,16.0,96,100,9.56,RU,1628352515
154,ankazoabo,-22.2833,44.5167,21.25,29,1,3.07,MG,1628352516
155,victoria,22.2855,114.1577,29.07,87,100,3.58,HK,1628352383
156,yaan,7.3833,8.5667,25.41,83,77,2.88,NG,1628352519
157,kathu,7.9178,98.3332,26.9,81,84,4.62,TH,1628352521
158,wewak,-3.5534,143.6268,25.48,88,99,2.28,PG,1628352323
159,concepcion del oro,24.6333,-101.4167,19.69,45,44,3.09,MX,1628352523
160,margate,51.3813,1.3862,19.36,65,68,1.79,GB,1628352462
161,concarneau,47.875,-3.9225,18.92,70,82,8.95,FR,1628352526
162,hobyo,5.3505,48.5268,24.97,77,91,12.89,SO,1628352527
163,ambon,-3.6954,128.1814,25.85,84,98,4.5,ID,1628352529
164,xiantao,30.3833,113.4,25.18,94,12,2.79,CN,1628352530
165,puksoozero,62.5903,40.6066,17.25,54,100,2.67,RU,1628352532
166,leningradskiy,69.3833,178.4167,3.04,91,100,3.88,RU,1628352407
167,dunmore east,52.1514,-6.9861,17.6,73,40,7.72,IE,1628352535
168,riyadh,24.6877,46.7219,43.08,9,16,2.91,SA,1628351945
169,baghdad,33.3406,44.4009,40.95,16,0,2.57,IQ,1628352537
170,saint anthony,45.0205,-93.218,21.42,93,90,2.06,US,1628352540
171,mahon,39.8885,4.2658,29.31,70,20,2.57,ES,1628352281
172,khandagayty,50.7333,92.05,11.88,80,100,3.29,RU,1628352542
173,isakly,54.1333,51.5333,22.22,40,18,5.19,RU,1628352543
174,chebarkul,54.9749,60.3633,14.97,60,81,4.69,RU,1628352545
175,lagoa,39.05,-27.9833,20.61,68,100,6.33,PT,1628352546
176,beringovskiy,63.05,179.3167,6.63,91,100,11.32,RU,1628352281
177,tiksi,71.6872,128.8694,7.97,80,100,1.96,RU,1628352549
178,porbandar,21.6422,69.6093,28.16,75,76,4.86,IN,1628352550
179,araouane,18.9048,-3.5265,40.73,21,84,5.2,ML,1628352552
180,pedasi,7.5333,-80.0333,26.14,82,69,2.82,PA,1628352554
181,salalah,17.0151,54.0924,26.05,89,75,3.09,OM,1628352555
182,pevek,69.7008,170.3133,4.21,85,37,2.72,RU,1628352557
183,trairi,-3.2778,-39.2689,32.14,42,60,7.14,BR,1628352403
184,ust-maya,60.4167,134.5333,11.55,64,5,3.56,RU,1628352559
185,arraial do cabo,-22.9661,-42.0278,22.92,56,75,9.26,BR,1628352538
186,napasar,27.9667,73.55,32.7,51,100,3.08,IN,1628352562
187,kintampo,8.0563,-1.7306,27.84,62,98,2.77,GH,1628352563
188,carupano,10.6678,-63.2585,28.48,71,49,3.63,VE,1628352564
189,dalnegorsk,44.5604,135.5701,18.73,100,100,0.99,RU,1628352566
190,san ignacio,17.1561,-89.0714,29.08,70,0,3.09,BZ,1628352567
191,faya,18.3851,42.4509,19.29,67,66,4.07,SA,1628352275
192,bismarck,46.8083,-100.7837,23.26,65,20,1.54,US,1628352569
193,chadiza,-14.0678,32.4392,22.19,29,0,3.06,ZM,1628352571
194,xiaoshi,41.2971,124.1209,20.01,85,32,0.8,CN,1628352572
195,dauphin,51.1494,-100.0502,28.21,28,55,4.07,CA,1628352573
196,chuy,-33.6971,-53.4616,20.36,62,6,3.2,UY,1628352575
197,grindavik,63.8424,-22.4338,14.26,77,75,1.54,IS,1628352576
198,caravelas,-17.7125,-39.2481,22.27,74,99,3.68,BR,1628352577
199,fairbanks,64.8378,-147.7164,15.05,93,90,4.12,US,1628352579
200,katsuura,35.1333,140.3,27.06,90,98,5.99,JP,1628352580
201,roebourne,-20.7833,117.1333,21.81,63,96,2.35,AU,1628352581
202,kharp,66.8014,65.8081,19.14,77,84,3.07,RU,1628352582
203,bilma,18.6853,12.9164,42.21,8,40,4.92,NE,1628352584
204,novyy urengoy,66.0833,76.6333,20.49,48,0,3.64,RU,1628352585
205,copiapo,-27.3667,-70.3333,10.83,54,13,2.5,CL,1628352586
206,horsham,51.064,-0.3272,19.92,69,20,3.6,GB,1628352588
207,ust-omchug,61.15,149.6333,7.21,83,7,1.58,RU,1628352589
208,hami,42.8,93.45,29.21,18,0,3.23,CN,1628352590
209,manta,-0.95,-80.7333,23.88,78,90,3.6,EC,1628352465
210,koumac,-20.5667,164.2833,19.09,72,93,1.85,NC,1628352595
211,udala,43.0778,-2.5125,18.4,83,84,3.97,ES,1628352596
212,hasaki,35.7333,140.8333,26.22,88,100,4.95,JP,1628352598
213,ossora,59.2353,163.0719,12.42,67,100,2.87,RU,1628352599
214,hithadhoo,-0.6,73.0833,28.02,67,100,2.0,MV,1628352600
215,asau,46.4333,26.4,25.22,48,41,1.4,RO,1628352366
216,santiago del estero,-27.7951,-64.2615,28.78,24,6,7.4,AR,1628352606
217,regeneracao,-6.2378,-42.6883,34.89,26,0,4.84,BR,1628352608
218,yumen,40.2833,97.2,22.97,30,90,3.95,CN,1628352610
219,half moon bay,37.4636,-122.4286,22.17,91,90,0.0,US,1628352452
220,komsomolskiy,40.4272,71.7189,31.4,27,63,4.12,UZ,1628352613
221,bredasdorp,-34.5322,20.0403,11.82,87,100,1.85,ZA,1628352615
222,itoman,26.1247,127.6694,29.21,92,75,11.83,JP,1628352616
223,venice,27.0998,-82.4543,33.46,78,40,2.68,US,1628352618
224,ahipara,-35.1667,173.1667,11.64,86,36,3.4,NZ,1628352619
225,hokitika,-42.7167,170.9667,6.68,95,100,2.12,NZ,1628352621
226,hofn,64.2539,-15.2082,13.13,85,100,3.83,IS,1628352622
227,broome,42.2506,-75.833,29.28,72,1,0.89,US,1628352623
228,aykhal,66.0,111.5,12.2,80,100,3.52,RU,1628352625
229,luanda,-8.8368,13.2343,24.0,83,0,3.6,AO,1628352405
230,nueva guinea,11.6876,-84.4562,25.62,88,100,4.63,NI,1628352627
231,denpasar,-8.65,115.2167,26.81,89,40,5.14,ID,1628352628
232,awjilah,29.1081,21.2869,40.61,12,0,7.9,LY,1628352630
233,gualaquiza,-3.4,-78.55,25.43,49,8,0.78,EC,1628352343
234,kruisfontein,-34.0033,24.7314,14.94,82,100,2.93,ZA,1628352632
235,coihaique,-45.5752,-72.0662,7.34,61,75,0.0,CL,1628352633
236,dingle,10.9995,122.6711,24.9,88,18,1.16,PH,1628352403
237,mushie,-3.0167,16.9,36.87,20,87,2.11,CD,1628352636
238,los angeles,34.0522,-118.2437,27.55,76,90,0.0,US,1628352620
239,codrington,-38.2667,141.9667,8.46,83,90,2.67,AU,1628352638
240,kelvington,52.1667,-103.5343,26.98,39,95,8.52,CA,1628352640
241,grand island,40.925,-98.342,24.88,73,75,7.72,US,1628352481
242,pangnirtung,66.1451,-65.7125,4.92,88,100,1.82,CA,1628352642
243,yangjiang,21.85,111.9667,26.05,92,100,1.84,CN,1628352420
244,termiz,37.2242,67.2783,33.05,24,0,0.0,UZ,1628352644
245,namatanai,-3.6667,152.4333,25.54,83,21,3.09,PG,1628352646
246,northam,51.0333,-4.2167,17.79,87,62,10.31,GB,1628352407
247,akom,2.6678,12.7109,20.53,96,94,1.59,CM,1628352648
248,ostrovnoy,68.0531,39.5131,14.8,77,33,4.91,RU,1628352649
249,shangzhi,45.2167,127.9667,18.46,85,0,0.53,CN,1628352651
250,roma,43.2128,-75.4557,29.51,63,1,0.0,US,1628352652
251,iqaluit,63.7506,-68.5145,3.37,98,100,5.79,CA,1628352654
252,pendleton,45.6721,-118.7886,25.67,53,1,0.45,US,1628352395
253,ribeira grande,38.5167,-28.7,24.22,57,40,6.69,PT,1628352657
254,bandar-e lengeh,26.5579,54.8807,36.16,52,0,2.4,IR,1628352658
255,atasu,48.6814,71.6433,21.03,59,99,1.59,KZ,1628352660
256,le port,-20.9373,55.2919,21.0,74,32,3.63,RE,1628352661
257,port hardy,50.6996,-127.4199,14.07,97,100,0.63,CA,1628352662
258,ust-kuyga,70.0167,135.6,12.87,62,61,2.15,RU,1628352664
259,bariadi,-2.8,33.9833,26.18,31,66,3.2,TZ,1628352665
260,gat,31.61,34.7642,33.0,47,0,3.0,IL,1628352667
261,spornoye,50.8448,37.2913,24.01,47,88,2.93,RU,1628352669
262,husavik,66.0449,-17.3389,15.26,66,77,3.59,IS,1628352670
263,acarau,-2.8856,-40.12,32.19,47,9,7.39,BR,1628352673
264,poddorye,57.4695,31.1156,20.75,81,58,3.28,RU,1628352676
265,tecoanapa,16.5167,-98.75,28.14,69,100,1.83,MX,1628352678
266,hirara,24.8,125.2833,27.34,90,100,14.73,JP,1628352679
267,dogondoutchi,13.6393,4.0287,35.67,39,40,5.47,NE,1628352680
268,turukhansk,65.8167,87.9833,18.92,56,66,2.51,RU,1628352682
269,gizo,-8.103,156.8419,27.25,72,100,3.52,SB,1628352683
270,skelleftea,64.7507,20.9528,20.2,52,3,6.17,SE,1628352684
271,jiblah,13.9216,44.1467,16.51,74,89,2.83,YE,1628352686
272,alta floresta,-9.8756,-56.0861,36.03,18,24,2.24,BR,1628352687
273,dese,11.1333,39.6333,14.89,74,20,1.14,ET,1628352688
274,flin flon,54.7682,-101.865,23.44,49,87,3.76,CA,1628352477
275,mardin,37.3131,40.7436,28.3,28,57,1.43,TR,1628352692
276,sinnamary,5.3833,-52.95,29.27,68,69,1.07,GF,1628352693
277,college,64.8569,-147.8028,14.77,93,90,2.06,US,1628352694
